epoch,train_loss,train_node_mse,train_edge_attr_mse,train_edge_presence_bce,train_target_mse,val_loss,val_node_mse,val_edge_attr_mse,val_edge_presence_bce,val_target_mse,test_loss,test_node_mse,test_edge_attr_mse,test_edge_presence_bce,test_target_mse
1,1.6582035044118804,0.03684545633350678,1.5296934263838537,0.15467005158290056,0.0761976148440351,0.8666668239379579,0.028742386354231108,0.7419777417582786,0.10760242426357929,0.08518645271538822,0.8951664269098782,0.0290008064157366,0.7720054707494318,0.11597606361079103,0.08256254245802115
2,1.00663636419449,0.029388846595388745,0.9148222316172139,0.10616883010404607,0.051808402505109694,0.767135844727982,0.02592368941925919,0.6189188161236185,0.08960174348213137,0.1133331632332152,0.7700223429060372,0.026199572238938026,0.6401923567480021,0.09422539519021801,0.09420787434502235
3,0.8477401324002001,0.028360002187036,0.7704599935102329,0.08758645139893943,0.040161491304229475,0.7127914096949235,0.025046106691489805,0.5815756907003231,0.08098509481696088,0.09807110165303917,0.7231144877507468,0.025521545531007682,0.5961237081514573,0.08705411006921435,0.09276382333906832
4,0.7632812148175594,0.027744461955311633,0.6937461440799265,0.08092061270410345,0.03369854749030887,0.6544439946642961,0.024438793237947818,0.5172724454532879,0.08892060654233962,0.10384069453005774,0.6563540012016411,0.025024445827695967,0.5341486842325418,0.095650062651353,0.08761586534282637
5,0.7121246245357639,0.027399084374601212,0.646884681707772,0.07830467333041152,0.030010391373489785,0.6227101217213417,0.023943476595640556,0.4937190689005942,0.0808648076259865,0.09696109459097975,0.6266409499322962,0.02424383050635027,0.5113883567071915,0.09128921365929071,0.08187984043599583
6,0.6870033225063883,0.027157455758101405,0.6250313346397731,0.07760018659606646,0.027054513258294853,0.6478597728586297,0.024192671242718677,0.505384539033382,0.07370978988613347,0.11091158283638633,0.6389605252972668,0.024228236613553812,0.5217575629594969,0.08235478503497264,0.08473924705020508
7,0.6692721492147401,0.026885508973175976,0.610140271036275,0.07709184834454998,0.0245371838958311,0.6842881844103711,0.024138054160295793,0.5227631212405439,0.07265590994269343,0.13012141861991403,0.6656645792750926,0.02401904033812094,0.5396488773453302,0.08160350941445517,0.09383631065915135
8,0.657876428612705,0.026594126679402752,0.6007524486613632,0.0765826326557492,0.022871590376648043,0.6456156905342199,0.023821278869621532,0.4985689277481483,0.07602640603370261,0.11562284459700403,0.6324220115492891,0.023568391088705815,0.5100339653032174,0.08476118179414224,0.09034353647216893
9,0.6498169888403207,0.026324686155148967,0.594258937119092,0.07640829970683423,0.021592535312766205,0.6595958084242899,0.023682889567621723,0.5024112903784406,0.08680736040794125,0.12482089131904095,0.6421355657725307,0.023433995483265937,0.5143206098882278,0.09739000509159092,0.09464196026137998
10,0.642944373723088,0.026122729582685772,0.5886388179177623,0.07626034058139836,0.020556792195345147,0.6543321916267307,0.02358892271431862,0.48952097569121755,0.08660321300790745,0.13256197167953146,0.6374869425005303,0.023295704260936752,0.502788132023719,0.09631616305006613,0.10177148952573022
11,0.6370481015485295,0.026041631242750968,0.5834664480580212,0.07593105348336983,0.019946916564115826,0.6204467340210449,0.02358514555306242,0.48753084061155777,0.09000408122280859,0.10033034030455448,0.6229843725765054,0.023262758370051085,0.5024690940956898,0.1014160599673405,0.0871109134346896
12,0.6323841669205104,0.025912580043533053,0.5797018051385767,0.07575379321500589,0.019194402615895657,0.6557955841535792,0.023350857528203813,0.4994796823780492,0.07109574956792081,0.1258554686839176,0.6489804259826538,0.02305727329921399,0.5175602926784069,0.07948448642883073,0.10041441234220357
13,0.6284933523366951,0.02581575072281981,0.5765399784901069,0.07556995742815009,0.01858062718893668,0.6839664888956761,0.0235309236540422,0.5248784134223027,0.09461063844790249,0.12609608910020953,0.6779455125100953,0.023127624440298377,0.5437591173656019,0.1059124714635181,0.100467523852833
14,0.6254772452159189,0.025682330869886454,0.5740954087151745,0.07550602010516967,0.01814890422449037,0.6627125901558614,0.02302883152090466,0.5018909282404421,0.09213711472083687,0.1285791212779009,0.6570873485651193,0.022679987025547018,0.5191677791570416,0.10391540460054391,0.10484804149059318
15,0.6225901254762037,0.02557645641422374,0.5716438428730978,0.0754628241288205,0.017823543629336573,0.6496333090326821,0.02282464565549132,0.49835449757066164,0.08440472197326475,0.1200136932415304,0.6494882461252882,0.022497094910250263,0.5114515580419728,0.09245176746273831,0.10629441599159939
