epoch,train_loss,train_node_mse,train_edge_attr_mse,train_edge_presence_bce,train_target_mse,val_loss,val_node_mse,val_edge_attr_mse,val_edge_presence_bce,val_target_mse,test_loss,test_node_mse,test_edge_attr_mse,test_edge_presence_bce,test_target_mse
1,1.1203986032563382,0.030820419588762017,1.0109826923278864,0.19210258978275355,0.05938523193746586,0.6821552129155096,0.02435292521530238,0.5607298980023709,0.12515976524418682,0.0845564128916001,0.6869664265590852,0.024404698016127796,0.5697676322776064,0.1363190754401249,0.07916218865822858
2,0.7329275702532807,0.026836312839520815,0.6527118861050624,0.135853471039626,0.03979402414920123,0.6112513873494582,0.023517884050270967,0.5041154090216426,0.12326431148186025,0.07129166426344667,0.6276428229539878,0.023730821512778253,0.5198750337709102,0.13877546428405563,0.0701594208761998
3,0.6842926211761813,0.02651143533216851,0.6114482475541174,0.1329059483019628,0.03304234318912151,0.6035051929366079,0.023468706962488126,0.487657863192442,0.12015068952512967,0.08036355344389819,0.6092305967393598,0.02354522858738431,0.5070378182907175,0.13370970871165985,0.065276578960076
4,0.6640682422578115,0.026162935519845283,0.5957933861259165,0.13247263357824066,0.02886465734645101,0.5942508756973722,0.02332963546068297,0.47436043695142943,0.12055810366618236,0.08450499306023984,0.6022131483087292,0.023184068015436862,0.49646647029589713,0.13689213498148592,0.06887339632086593
5,0.6466370852952513,0.02584625206898719,0.5823014660990106,0.1313579610265049,0.0253535707975352,0.6280888274308112,0.023183166922612075,0.5188631199567987,0.11546482664767195,0.07449605840371014,0.6522501891549264,0.022983093586124936,0.547765539294487,0.13259613856283511,0.06824194246039013
6,0.6367695874481624,0.02559706279261526,0.5747359091602129,0.13036417461871222,0.023400197954065505,0.5910749968239994,0.022767374212390758,0.47707079117641404,0.11921304412754759,0.07931552704799136,0.6051672897994769,0.022754245335136956,0.4988285095067343,0.1354949985803322,0.07003503506487042
7,0.6301318668914457,0.02540168756719445,0.5694321875449037,0.130127852720748,0.02228520633740902,0.5964508011073476,0.02230250094024381,0.4700910814190486,0.11472126545710355,0.0925850922837428,0.6056331076395933,0.022257426852075088,0.49047361945723605,0.12964837026392703,0.07993722437665907
8,0.6236783549231357,0.02522545549416454,0.5641864288345914,0.12938831728916766,0.021327638773580952,0.5843700871688313,0.022286548975092076,0.46649512640766483,0.11334580906788695,0.08425383123025064,0.6002165622942646,0.022223184797193117,0.4914081487566082,0.12771137245901562,0.07381409163838747
9,0.6187075413285147,0.025066952746402735,0.5600081728120572,0.12881988732621238,0.020750427283127353,0.6015783903591282,0.022204155966037687,0.466698438437192,0.11596620868947166,0.10107917497068789,0.6137417578046692,0.022022403258007948,0.48893332510253174,0.13028050588225154,0.08975797864344486
10,0.6149584550980712,0.02492209896951144,0.5569508248976676,0.1282252732997011,0.020263004122637436,0.6315440195315847,0.02212478726009997,0.4876226991250888,0.11513277703254766,0.11028325546247401,0.6424769207076587,0.022027173814203493,0.5123610962625341,0.12821789502699785,0.09526686102001668
