model,graphs,nodes,unique_edges,sampled_non_edges,node_feature_mse,edge_feature_mse,aa_identity_accuracy_pct,aa_identity_misclassified_pct,chain_accuracy_pct,interface_node_accuracy_pct,interface_edge_accuracy_pct,rsasa_i_mae,rsasa_i_rmse,rsasa_i_bias,drsasa_mae,drsasa_rmse,drsasa_bias,ca_dist_mae_angstrom,ca_dist_rmse_angstrom,ca_dist_bias_angstrom,edge_recall_pct,edge_precision_pct,edge_specificity_pct,sampled_edge_accuracy_pct,edge_f1_pct,target_id
gat4_residual_03_plus_voronoi_contact_area,1350,410400,2343581,2343581,0.046942186101525535,8.652109630896229,43.82772904483431,56.17227095516569,92.78849902534112,95.7624269005848,95.55505015614992,0.32715485114567927,0.529936362982127,-0.03514834241821752,,,,1.4050213317173257,1.7339652221371018,0.03731330661828137,9.835717220783065,98.16160970935803,99.81579471757111,54.82575596917708,17.879883928287473,1acb
gat4_residual_03_plus_voronoi_contact_area,1233,483336,2749819,2749819,0.04484272801888104,9.298012900652127,40.91356737342139,59.08643262657861,94.75768409553602,95.99678070741679,95.93416875801644,0.29538022590050134,0.4951137122037865,-0.01303987239175641,,,,1.436793391702554,1.7838994888850026,0.07188093346631344,8.742757250568129,98.038895844123,99.8251157621647,54.283936506366416,16.05388646154072,1avx
gat4_residual_03_plus_voronoi_contact_area,1303,465171,2640060,2640060,0.04153047470606166,10.3726301009139,42.20082507293017,57.79917492706983,95.0914824870854,96.79816669568825,96.85207911941394,0.23845697752206815,0.4349360768076821,-0.010375756887880113,,,,1.6079142507836293,1.9837602840196047,-0.022698580191646424,9.006461974349069,97.4819406521864,99.76735377226275,54.386907873305915,16.489446174693427,1buh
gat4_residual_03_plus_voronoi_contact_area,1488,410688,2309478,2309478,0.04524195583125138,9.361940749909179,39.88356124357176,60.11643875642824,97.16207924263675,95.49244195106748,95.48486714313798,0.2987390661213616,0.4903976600124539,0.00046635324546731447,,,,1.3418706525788782,1.6631068374168472,0.0256710158188252,9.92544635627618,97.26360454015062,99.72075940970211,54.82310288298914,18.012748153057988,1fle
gat4_residual_03_plus_voronoi_contact_area,1117,726050,4349423,4349423,0.03980011228714601,9.600142994182791,44.468011844914265,55.531988155085735,94.66620756146271,97.77797672336615,98.10420830533153,0.1788641935366506,0.3440708324118439,0.01946307878587522,,,,1.5095205036975954,1.9002021025412703,-0.05786437404827029,9.652636683072673,97.03801464928846,99.70536321714397,54.67899995010832,17.558664946910042,1gla
gat4_residual_03_plus_voronoi_contact_area,1164,542424,3147511,3147511,0.04186196468308581,8.998222582826822,49.3429494270165,50.6570505729835,96.28611565859919,96.05400940961314,96.45853501385699,0.2728752597968452,0.4558855600642208,-0.018001661848962486,,,,1.475734933035803,1.8387694936418817,0.10221069409489697,10.648541021778795,97.08735614204316,99.68054122765577,55.16454112471728,19.192093290921427,1m10
gat4_residual_03_plus_voronoi_contact_area,1405,456625,2641744,2641744,0.04112225720516706,7.061248377038837,48.859348480700795,51.140651519299205,95.46652066794415,96.17935943060499,96.10128763422951,0.26618329722072664,0.4545846643797709,0.0036419453956380533,,,,1.2585099893778149,1.5627756177598953,0.07046549073432902,16.834522951504763,95.9180504301727,99.283579332441,58.05905114197289,28.642089009610693,1r0r
gat4_residual_03_plus_voronoi_contact_area,1307,218269,1112364,1112364,0.0744368440975009,9.955477311791038,43.32589602737906,56.67410397262094,84.31797460931236,87.22035653253553,82.97661556828521,0.6337342139207819,0.8512591986782891,-0.20085674712595109,,,,1.4267019329072896,1.7681005667121623,0.14104774006139453,11.027145790406738,93.03429758961212,99.17437097928375,55.10075838484525,19.717250303405372,1r8o
gat4_residual_03_plus_voronoi_contact_area,1389,229185,1206270,1206270,0.051071708766250584,10.46028889028783,46.62783340969086,53.37216659030914,93.11560529703078,94.25267796758078,94.43897303257148,0.37861499534627074,0.5669108710852971,-0.01683828947699465,,,,1.544803791829941,1.9247217445939904,-0.031428479387760416,9.046813731585797,97.61091234347047,99.77857361950475,54.41269367554528,16.558908100480245,1wmh
gat4_residual_03_plus_voronoi_contact_area,1002,468936,2738316,2738316,0.04237427950026062,8.119653837697756,42.04518313799751,57.95481686200249,96.7989235204804,96.33553406008495,96.47648408730038,0.2678221724490816,0.4488432820696857,-0.006438500400184761,,,,1.391825595141948,1.7511327670054324,0.05679586514220659,8.847189294442277,97.52076096013654,99.77508074305523,54.31113501874874,16.222642822154864,1xg2
gat4_residual_03_plus_voronoi_contact_area,1107,611064,3525132,3525132,0.04131259804137712,9.148233098670726,41.53116531165312,58.46883468834688,95.6083159865415,96.48481992066297,96.97903511130932,0.23816740995565694,0.4243642284326671,0.016474499668181118,,,,1.554822920599365,1.9353701362430682,-0.022580301755418402,10.127450546532724,97.35881164250009,99.72525851514213,54.92635453083743,18.346466424603587,1zhh
gat4_residual_03_plus_voronoi_contact_area,869,373670,2114285,2114285,0.04485494468836583,10.948536404347884,44.92627184414055,55.07372815585945,96.22099713651082,94.75660342013006,95.26459299479492,0.30454461263124283,0.5042917411437078,-0.02857328028593013,,,,1.6049779365654715,2.0062707217751186,-0.0857493297634541,9.78586141414237,97.43624761590807,99.74251342652481,54.764187420333585,17.785466533140205,2ayo
gat4_residual_03_plus_voronoi_contact_area,1336,553104,3157962,3157962,0.04080719559382115,8.47779995089924,46.91974746159854,53.08025253840145,96.59846972721225,96.71616911105325,96.73400123244042,0.27320059120522294,0.448259940059581,0.009570428078421983,,,,1.515226360102358,1.8789329371189891,0.12870838944532073,8.449310029696369,97.6086741804853,99.79299940911258,54.12115471940447,15.552359511267513,2c0l
gat4_residual_03_plus_voronoi_contact_area,1224,243576,1326167,1326167,0.049318337654266374,8.982495659758223,41.40350445035635,58.59649554964365,94.8619732650179,92.68606102407462,92.89425841541828,0.3916108634713311,0.570403313688257,-0.013000801226435129,,,,1.4794778607720773,1.8453979446641806,0.042604299521354305,8.527508224831411,96.78465672765863,99.71670234593381,54.12210528538262,15.674009866854977,2fhz
gat4_residual_03_plus_voronoi_contact_area,904,789192,4691369,4691369,0.038236876466344535,10.16866281462831,44.93000435888859,55.06999564111141,94.34434206124746,98.23046863120761,98.63436451065778,0.14897759639444286,0.31539082028867177,-0.0006434450952022778,,,,1.5598487652729605,1.9509382932365047,-0.11520544778238972,8.146662520044789,96.8673171968065,99.73653745846894,53.94159998925687,15.029338847118881,2fju
gat4_residual_03_plus_voronoi_contact_area,1263,482466,2773060,2773060,0.040771553189345194,7.703069286782922,46.17030008332193,53.82969991667807,96.58856789908512,96.78899653032545,96.62538855993019,0.24604129611383127,0.4341823214740934,-0.0005091021599268923,,,,1.2802342769760944,1.5948231399169395,0.05970909308413263,15.573734430556858,95.96193244186098,99.3446589687926,57.45919669967473,26.79834519664596,2sic
gat4_residual_03_plus_voronoi_contact_area,1339,283868,1525894,1525894,0.04828442041664776,9.966881091766941,47.2187777417673,52.781222258232695,95.65185226936464,94.68379669423817,94.26985098571723,0.37457235544785167,0.5667394351912273,0.01795839488880909,,,,1.5122088835516774,1.9193401753154486,0.005039913042861566,8.06805715206954,96.92937563971341,99.74441212823434,53.906234640151936,14.896206918248128,3fpn
gat4_residual_03_plus_voronoi_contact_area,1304,297312,1612616,1612616,0.04616718924058821,7.8263016892240875,43.214535572058985,56.785464427941015,93.76143579808416,95.19360133462492,95.00631272416992,0.3355685786966897,0.5287995513444195,-0.0033196230838882204,,,,1.2930791864292146,1.6179018522984117,0.07696013189834311,8.933682910252658,97.83636215467362,99.8024328172361,54.368057863744376,16.372364290958185,3sgb
gat4_residual_03_plus_voronoi_contact_area,1345,438470,2532750,2532750,0.04516677520044583,9.8679341712113,45.09544552648984,54.90455447351016,93.2759367801674,95.58487467785709,95.39662422268286,0.31307375217529704,0.4946723764417633,-0.006265037595976972,,,,1.554795515755324,1.9363296142476203,0.03695163027294861,11.864850458987267,97.1913800854488,99.65713157634983,55.76099101766854,21.148011165608295,3wdg
gat4_residual_03_plus_voronoi_contact_area,1329,734937,4155854,4155854,0.037057863872761755,9.471776682487121,47.96955385291529,52.03044614708472,95.17781796262808,97.47556593286227,97.92868084393726,0.17682811772921775,0.3485345566933882,-0.024724037992640016,,,,1.5064308943264504,1.8965536092424027,0.018875047633371247,8.879715216174581,97.6406620010848,99.78543519575038,54.332575205962485,16.27897487294871,4hwi
gat4_residual_03_plus_voronoi_contact_area,1109,341572,1865672,1865672,0.05277894925188704,9.949402391381408,48.49665663461876,51.50334336538124,91.04346960523696,92.38784209478528,91.57065121843496,0.4314747971932122,0.634678779947965,-0.05342041243196599,,,,1.5300770087174018,1.9162263823190009,0.026934737206544067,11.60214657238786,95.03191760253584,99.3934625164552,55.49780454442153,20.679587627290125,4qjf
gat4_residual_03_plus_voronoi_contact_area,932,759580,4314286,4314286,0.03964673851217617,9.824217682205507,44.54553832381053,55.45446167618947,94.42389215092551,97.53021406566786,98.0227550978308,0.18757931614296267,0.37667628349193655,-0.03488442850321961,,,,1.6193189842176738,1.998900851419389,-0.060431556921631754,7.830820673455586,97.49343491184025,99.79866888750537,53.81474478048048,14.497203923089863,4u1c
gat4_residual_03_plus_voronoi_contact_area,1297,482484,2573379,2573379,0.047934173835638874,8.029452841660225,41.009442800175755,58.990557199824245,93.14257053083625,93.15044643967468,92.54019714935112,0.3111844981802151,0.5176176999044897,-0.01847475202880194,,,,1.3858954736575797,1.7386602800856907,0.13721976085071494,11.870929233509717,97.16968528732562,99.65422893402021,55.76257908376496,21.15715254828914,5maw
gat4_residual_03_plus_voronoi_contact_area,1145,596545,3447138,3447138,0.04420462739382459,9.494788417443447,46.92034968024206,53.079650319757945,96.19793980336773,95.08871920810668,95.35034570707643,0.32492649418021047,0.5077256850766175,0.009169693728908662,,,,1.5810570125152554,1.945222145234079,0.030772726649955416,8.842030693288171,96.51430471335159,99.68066262505302,54.2613466591706,16.19992649370453,5mu7
gat4_residual_03_plus_voronoi_contact_area,1205,226540,1113469,1113469,0.06749944194911461,9.27809571792075,37.40134192637062,62.59865807362939,88.8999735146111,88.18707513021982,88.88922816890276,0.4955996035561301,0.7047360331861433,-0.10296646276229245,,,,1.3187836074024344,1.6472749901866572,0.15344391316365094,9.434928138996236,97.38676604186367,99.74682725787606,54.590877698436145,17.203193533675634,8enf
